exp_id,n_uavs,sensor_range,detection_prob,avg_detect_time,coverage_fraction
0,1,100.0,0.1,411.0,0.118
0,1,100.0,0.2,284.0,0.118
0,1,100.0,0.1,93.0,0.118
0,1,100.0,0.1,93.0,0.118
0,1,100.0,0.2,480.5,0.118
1,2,100.0,0.1,144.0,0.27644444444444444
1,2,100.0,0.4,340.75,0.2761777777777778
1,2,100.0,0.3,200.33333333333334,0.2763555555555556
1,2,100.0,0.35,196.0,0.2764888888888889
1,2,100.0,0.3,435.0,0.27626666666666666
2,3,100.0,0.45,401.55555555555554,0.3824
2,3,100.0,0.35,308.2857142857143,0.38195555555555555
2,3,100.0,0.5,312.8,0.3809777777777778
2,3,100.0,0.4,534.0,0.38155555555555554
2,3,100.0,0.45,527.3333333333334,0.3828
3,4,100.0,0.25,283.2,0.5306666666666666
3,4,100.0,0.55,270.54545454545456,0.5313333333333333
3,4,100.0,0.5,297.0,0.5303555555555556
3,4,100.0,0.5,220.0,0.53
3,4,100.0,0.3,432.6666666666667,0.5304888888888889
4,6,150.0,0.8,374.25,0.8599111111111111
4,6,150.0,0.9,281.77777777777777,0.8595111111111111
4,6,150.0,1.0,287.3,0.8599555555555556
4,6,150.0,0.9,300.22222222222223,0.8599111111111111
4,6,150.0,0.95,480.2105263157895,0.8601333333333333
5,8,200.0,0.85,337.88235294117646,0.8928444444444444
5,8,200.0,0.9,224.88888888888889,0.8932888888888889
5,8,200.0,1.0,208.0,0.8928444444444444
5,8,200.0,0.95,254.21052631578948,0.8928444444444444
5,8,200.0,0.95,366.0,0.8928444444444444
